"nm0240042"|||"Susan Dudeck"|||\N|||\N|||"\"sound_department,actress,editorial_department\""|||"\"tt0145487,tt0133093,tt0316654,tt0892782\""
"nm0243039"|||"Alan Dunstan"|||\N|||\N|||"\"camera_department,art_department\""|||"\"tt0199753,tt0118929,tt0133093,tt0234215\""
"nm0254153"|||"Duke Ellington"|||"1899"|||"1974"|||"\"soundtrack,music_department,actor\""|||"\"tt0052561,tt0133093,tt0181689,tt2704998\""
"nm0255168"|||"Brian Ellison"|||\N|||\N|||"\"stunts,actor,miscellaneous\""|||"\"tt0118929,tt0133093,tt0089530,tt0116654\""
"nm0256343"|||"Ross Emery"|||\N|||\N|||"\"cinematographer,camera_department,visual_effects\""|||"\"tt0118929,tt0133093,tt0435651,tt0402901\""
"nm0263016"|||"Marianne Evans"|||\N|||\N|||"\"art_director,art_department,special_effects\""|||"\"tt0366174,tt0133093,tt1809398,tt0455824\""
"nm0263523"|||"Grant Everett"|||\N|||\N|||"\"visual_effects,special_effects\""|||"\"tt0234215,tt0458525,tt0133093,tt1343092\""
"nm0263681"|||"Julia Evershade"|||"1952"|||\N|||"\"sound_department,editorial_department\""|||"\"tt0234215,tt0133093,tt0120689,tt0133240\""
"nm0265712"|||"John Faithful"|||\N|||\N|||"\"miscellaneous,location_management\""|||"\"tt0112431,tt0090555,tt0133093,tt0105488\""
"nm0274993"|||"Matthew Ferro"|||\N|||\N|||"\"producer,director,visual_effects\""|||"\"tt9887388,tt0119094,tt0133093,tt0366548\""
"nm0278317"|||"Lloyd Finnemore"|||\N|||\N|||"\"special_effects,stunts,miscellaneous\""|||"\"tt0199753,tt1456941,tt0133093,tt1392190\""
"nm0281104"|||"Terry Flanagan"|||\N|||\N|||"\"stunts,actor\""|||"\"tt0118929,tt0348150,tt0133093,tt0382992\""
"nm0281363"|||"Lindsay Fleay"|||\N|||\N|||"\"visual_effects,director,actor\""|||"\"tt0120737,tt0133093,tt0299977,tt0203009\""
"nm0281975"|||"Colin Fletcher"|||\N|||\N|||"assistant_director"|||"\"tt0348150,tt0199753,tt0133093,tt0121766\""
"nm0286082"|||"Trish Foreman"|||\N|||\N|||"\"art_department,miscellaneous\""|||"\"tt0234215,tt0133093,tt0121765,tt6292852\""
"nm0287825"|||"Gloria Foster"|||"1933"|||"2001"|||"actress"|||"\"tt0234215,tt0098844,tt0133093,tt0093405\""
"nm0288787"|||"Ray Fowler"|||\N|||\N|||"\"special_effects,miscellaneous,actor\""|||"\"tt0089530,tt0082694,tt0133093,tt0118929\""
"nm0289203"|||"Rebecca Fox"|||\N|||\N|||"visual_effects"|||"tt0133093"
"nm0300476"|||"Madonna Wayne Gacy"|||"1964"|||\N|||"\"actor,soundtrack,composer\""|||"\"tt0124102,tt0133093,tt0338768,tt0479780\""
"nm0302702"|||"Frank Gallego"|||\N|||\N|||"\"visual_effects,miscellaneous,special_effects\""|||"\"tt1046173,tt0343818,tt0133093,tt0418279\""
"nm0323822"|||"Paul Goddard"|||\N|||\N|||"actor"|||"\"tt0387736,tt0133093,tt0112431,tt0113820\""
"nm0325302"|||"Sally Goldberg"|||\N|||\N|||"visual_effects"|||"\"tt0118929,tt0133093,tt0443274,tt0163978\""
"nm0331704"|||"Murray Gosson"|||\N|||\N|||"art_department"|||"\"tt0118929,tt0267913,tt0133093,tt0120755\""
"nm0336802"|||"Marc Aden Gray"|||\N|||\N|||"\"actor,writer,producer\""|||"\"tt1844624,tt1551632,tt0133093,tt2259122\""
"nm0337379"|||"Pauline Grebert"|||\N|||\N|||"\"special_effects,art_department\""|||"\"tt0134847,tt0133093,tt0120755,tt0116654\""
"nm0340647"|||"Nico Grey"|||\N|||\N|||"visual_effects"|||"tt0133093"
"nm0343065"|||"Zigmund Gron"|||\N|||\N|||"\"music_department,sound_department,composer\""|||"\"tt0253754,tt0145487,tt0133093,tt1637688\""
"nm0345412"|||"Mario Guarneri"|||\N|||\N|||"\"music_department,composer\""|||"\"tt0163025,tt0133093,tt0117060,tt0107290\""
"nm0348332"|||"Ben Gunsberger"|||"1976"|||\N|||"visual_effects"|||"\"tt0234215,tt1343092,tt0133093,tt1201607\""
"nm0359886"|||"Laura Hanigan"|||"1967"|||\N|||"visual_effects"|||"\"tt0327850,tt0120184,tt0133093,tt0185183\""
"nm0361949"|||"Karen Harborow"|||\N|||\N|||"\"production_designer,art_department,set_decorator\""|||"\"tt0199753,tt0133093,tt0316763,tt0120755\""
"nm0367595"|||"Judith Harvey"|||\N|||\N|||"\"art_department,production_designer\""|||"\"tt0199753,tt0316396,tt0133093,tt0118929\""
"nm0371145"|||"Marvin Hayes"|||"1969"|||\N|||"\"producer,miscellaneous,director\""|||"\"tt4534658,tt0251736,tt0133093,tt4261772\""
"nm0377522"|||"Charles Henrich"|||\N|||\N|||"\"visual_effects,miscellaneous\""|||"\"tt0343818,tt0319262,tt0133093,tt0234215\""
"nm0377902"|||"Leo Henry"|||\N|||\N|||"special_effects"|||"\"tt0382992,tt1456941,tt0133093,tt1392190\""
"nm0383901"|||"Kim Hilder"|||\N|||\N|||"\"art_department,special_effects,art_director\""|||"\"tt0203009,tt0089530,tt0133093,tt0090555\""
"nm0386326"|||"David Hird"|||\N|||\N|||"\"camera_department,art_department,miscellaneous\""|||"\"tt0382992,tt0118929,tt0133093,tt0234215\""
"nm0388164"|||"Hilda Hodges"|||"1957"|||\N|||"\"sound_department,miscellaneous\""|||"\"tt1276104,tt1951264,tt0133093,tt0116629\""
"nm0388178"|||"Johnny Hodges"|||"1907"|||"1970"|||"\"soundtrack,music_department,actor\""|||"\"tt0289765,tt0133093,tt0242653,tt0117802\""
"nm0391401"|||"Fiona Holly"|||\N|||\N|||"\"costume_department,costume_designer,art_department\""|||"\"tt0113820,tt0121765,tt0133093,tt0188453\""
"nm0395703"|||"Lou Horvath"|||\N|||\N|||"\"stunts,actor,miscellaneous\""|||"\"tt0199753,tt7556122,tt0133093,tt0118929\""
"nm0399038"|||"Sam Kai-Sen Huang"|||\N|||\N|||"\"actor,stunts,miscellaneous\""|||"\"tt0306685,tt0267804,tt0133093,tt0271027\""
"nm0399226"|||"Sherry Hubbard"|||\N|||\N|||"make_up_department"|||"\"tt0098141,tt0133093,tt0190865,tt0089530\""
"nm0399664"|||"Donna Huddleston"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0404951"|||"Benn Hyde"|||\N|||\N|||"camera_department"|||"\"tt0118929,tt3501632,tt0133093,tt2222042\""
"nm0408635"|||"Andrew Infanti"|||\N|||\N|||"\"costume_department,costume_designer\""|||"\"tt0187636,tt0221073,tt0133093,tt6816388\""
"nm0412610"|||"Rodney Iwashina"|||\N|||\N|||"visual_effects"|||"\"tt0114898,tt0133093,tt0234215,tt0118884\""
"nm0414398"|||"Emma Jacobs"|||\N|||\N|||"\"miscellaneous,editorial_department\""|||"\"tt0199753,tt0133093,tt0292414,tt0118929\""
"nm0416411"|||"David James"|||\N|||\N|||"\"special_effects,visual_effects\""|||"\"tt0259324,tt0133093,tt0199753,tt0118929\""
"nm0425087"|||"Fiona Johnson"|||\N|||\N|||"\"actress,transportation_department\""|||"\"tt0115102,tt0106097,tt0133093,tt0144728\""
"nm0425324"|||"Jayne Johnson"|||\N|||\N|||"\"art_department,miscellaneous\""|||"\"tt0367931,tt0133093,tt0119870,tt0138652\""
"nm0426853"|||"Steve Johnston"|||\N|||\N|||"camera_department"|||"tt0133093"
"nm0430068"|||"Krista Jordan"|||\N|||\N|||"\"miscellaneous,visual_effects\""|||"\"tt0234215,tt0133093,tt0203009,tt0416449\""
"nm0442073"|||"Alex Kaufman"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0457316"|||"Alex Kiss"|||\N|||\N|||"stunts"|||"tt0133093"
"nm0482913"|||"Alisoun F. Lamb"|||\N|||\N|||"\"miscellaneous,visual_effects,production_manager\""|||"\"tt0103622,tt0133093,tt0118928,tt0115309\""
"nm0485850"|||"Mary Jo Lang"|||\N|||\N|||"sound_department"|||"\"tt2245084,tt0133093,tt0816692,tt2096673\""
"nm0491370"|||"Maryanne Lauric"|||\N|||\N|||"visual_effects"|||"\"tt0219224,tt0326664,tt0133093,tt0183503\""
"nm0492520"|||"Peter Lawless"|||\N|||\N|||"\"location_management,actor,producer\""|||"\"tt0118929,tt0133093,tt0199753,tt0234215\""
"nm0492790"|||"Harry Lawrence"|||"1925"|||"2004"|||"\"actor,soundtrack\""|||"\"tt0072209,tt0133093,tt0067541,tt0064176\""
"nm0496567"|||"Bernard Ledger"|||\N|||\N|||"\"stunts,actor,miscellaneous\""|||"\"tt0416315,tt0316396,tt0133093,tt0881320\""
